k_lalt,k_space,k_rctrl,k_lshift,k_nubs,,,k_b,k_n,k_f23,k_f24,k_f12,,,k_fwslash,,,kp_0,kp_dot,kp_enter
k_left,kp_1,k_caps,k_rshift,k_z,k_x,k_c,k_v,k_m,k_f22,k_f10,k_f11,k_cm,k_period,k_nuhs,k_return,,kp_2,kp_3,
,k_lb5,k_lb6,,,,,k_t,k_y,k_f20,k_f21,k_f9,k_rbrc,,k_lbrc,k_backsl,k_end,,,
kp_plus,k_lb4,k_tab,,k_q,k_w,k_e,k_r,k_u,k_f19,k_f7,k_f8,k_i,k_o,k_p,kp_7,k_pgdn,kp_8,kp_9,
,k_lb1,k_lb2,,k_tild,,,k_5,k_6,k_f17,k_f18,k_f6,k_equals,,k_minus,k_backspace,k_ins,k_home,,
kp_minus,k_lb3,,,k_1,k_2,k_3,k_4,k_7,k_f16,k_f4,k_f5,k_8,k_9,k_0,kp_nl,k_pgup,kp_div,kp_mult,
kp_plus_hidden,k_lb7,k_lb8,,k_a,k_s,k_d,k_f,k_j,k_f14,k_f15,k_f3,k_k,k_l,k_semicolon,kp_4,k_del,kp_5,kp_6,k_right
k_lctrl,k_lb9,k_lb10,k_ralt,,,,k_g,k_h,k_f13,k_f1,k_f2,,,k_singlequote,k_down,k_up,,,k_navmid
